index bayes_factor network_snr_true_hypo network_snr_null_hypo optimal_network_snr_true_hypo optimal_network_snr_null_hypo h1_snr_true_hypo h1_snr_null_hypo l1_snr_true_hypo l1_snr_null_hypo
49 1.094521 20.015467 20.015467 20.934760 20.934760 12.597676 12.597676 16.720130 16.720130 
50 1.735938 15.167057 15.167057 16.633044 16.633044 11.427650 11.427650 12.085817 12.085817 
51 1.061823 10.712516 10.712516 11.531065 11.531065 9.812613 9.812613 6.056244 6.056244 
53 3.785074 25.652737 25.652737 27.315176 27.315176 17.681161 17.681161 20.820552 20.820552 
54 3.131220 19.999684 19.999684 19.957735 19.957735 13.842132 13.842132 14.377294 14.377294 
56 2.427216 12.722040 12.722040 11.101131 11.101131 3.371755 3.371755 10.576691 10.576691 
57 1.229390 16.427097 16.427097 15.972133 15.972133 11.310662 11.310662 11.277320 11.277320 
58 3.303390 30.482975 30.482975 31.376104 31.376104 15.547686 15.547686 27.253061 27.253061 
59 1.857649 8.773294 8.773294 8.161811 8.161811 5.554905 5.554905 5.979816 5.979816 
60 2.200120 9.963138 9.963138 7.961483 7.961483 1.758361 1.758361 7.764881 7.764881 
61 2.410293 11.102201 11.102201 10.605720 10.605720 5.970764 5.970764 8.765345 8.765345 
63 0.106794 5.731637 5.731637 6.336339 6.336339 6.024374 6.024374 1.963698 1.963698 
64 0.232411 20.616962 20.616962 20.923916 20.923916 12.783791 12.783791 16.564569 16.564569 
65 2.361161 18.418102 18.418102 17.856500 17.856500 12.560863 12.560863 12.691702 12.691702 
66 0.202761 6.199601 6.199601 5.293954 5.293954 2.549511 2.549511 4.639606 4.639606 
67 0.566875 12.299905 12.299905 12.049604 12.049604 11.123358 11.123358 4.632911 4.632911 
68 3.266209 17.024450 17.024450 17.285937 17.285937 9.475617 9.475617 14.457396 14.457396 
69 1.168373 13.699508 13.699508 14.075937 14.075937 9.232537 9.232537 10.625078 10.625078 
70 1.030707 9.975525 9.975525 10.302954 10.302954 9.612968 9.612968 3.706982 3.706982 
71 3.537314 31.325537 31.325537 31.607801 31.607801 23.838277 23.838277 20.755472 20.755472 
72 2.986040 15.249461 15.249461 15.922095 15.922095 13.060702 13.060702 9.106656 9.106656 
73 1.795234 11.859088 11.859088 11.602971 11.602971 8.215071 8.215071 8.193995 8.193995 
75 0.561031 9.133677 9.133677 8.682918 8.682918 6.912146 6.912146 5.255026 5.255026 
76 3.562993 28.736132 28.736132 28.878750 28.878750 17.793494 17.793494 22.745852 22.745852 
77 2.114081 11.416433 11.416433 11.773256 11.773256 5.779694 5.779694 10.256933 10.256933 
78 0.631842 19.073917 19.073917 19.606460 19.606460 16.811995 16.811995 10.088118 10.088118 
79 1.883289 28.059335 28.059335 28.200900 28.200900 18.611364 18.611364 21.187446 21.187446 
80 1.210130 9.298545 9.298545 8.871639 8.871639 7.751975 7.751975 4.314262 4.314262 
81 0.743523 16.874783 16.874783 16.650880 16.650880 11.119366 11.119366 12.394011 12.394011 
82 0.063436 9.022237 9.022237 6.579789 6.579789 6.512016 6.512016 0.941953 0.941953 
83 3.193018 14.967193 14.967193 13.973065 13.973065 10.965682 10.965682 8.660274 8.660274 
84 0.295075 9.070761 9.070761 9.322772 9.322772 6.274535 6.274535 6.895236 6.895236 
85 0.765950 19.638852 19.638852 20.033369 20.033369 18.650302 18.650302 7.314513 7.314513 
86 1.231152 7.375312 7.375312 7.253592 7.253592 1.520456 1.520456 7.092447 7.092447 
87 4.258010 16.938264 16.938264 15.954204 15.954204 11.587134 11.587134 10.966995 10.966995 
88 2.588473 26.813597 26.813597 27.464127 27.464127 15.244670 15.244670 22.844656 22.844656 
89 1.499282 26.864698 26.864698 24.551179 24.551179 21.171436 21.171436 12.431038 12.431038 
90 2.777362 45.736864 45.736864 44.444455 44.444455 30.731830 30.731830 32.107074 32.107074 
91 -0.208521 15.504993 15.504993 15.616910 15.616910 9.991186 9.991186 12.002669 12.002669 
92 -0.081875 12.764751 12.764751 13.262427 13.262427 10.585867 10.585867 7.989456 7.989456 
93 3.472463 22.491371 22.491371 23.480199 23.480199 20.583577 20.583577 11.297616 11.297616 
94 0.404058 8.623960 8.623960 8.020911 8.020911 7.108538 7.108538 3.715332 3.715332 
95 1.835170 16.806738 16.806738 15.691710 15.691710 9.272096 9.272096 12.659305 12.659305 
96 0.098896 6.977697 6.977697 7.315523 7.315523 5.968593 5.968593 4.229985 4.229985 
98 0.937578 11.194430 11.194430 12.391704 12.391704 8.435914 8.435914 9.076876 9.076876 
99 3.012260 19.587214 19.587214 19.998410 19.998410 15.743445 15.743445 12.332085 12.332085 
100 2.876972 16.608708 16.608708 16.591965 16.591965 12.162584 12.162584 11.285604 11.285604 
101 2.716200 27.011978 27.011978 27.170378 27.170378 23.022123 23.022123 14.429528 14.429528 
102 2.395132 19.181168 19.181168 19.246115 19.246115 13.365989 13.365989 13.847863 13.847863 
103 2.297706 12.905690 12.905690 12.101741 12.101741 9.785675 9.785675 7.119881 7.119881 
104 0.086575 2.808770 2.808770 2.042535 2.042535 0.798451 0.798451 1.880006 1.880006 
105 0.936474 15.349811 15.349811 14.836830 14.836830 13.051553 13.051553 7.056095 7.056095 
106 2.729118 13.076827 13.076827 12.874948 12.874948 5.673966 5.673966 11.557266 11.557266 
107 0.118438 8.507236 8.507236 8.308212 8.308212 3.797063 3.797063 7.389770 7.389770 
108 0.320050 9.923407 9.923407 9.946744 9.946744 4.950686 4.950686 8.627191 8.627191 
109 0.140254 2.777522 2.777522 2.997674 2.997674 2.804925 2.804925 1.057565 1.057565 
