index bayes_factor network_snr_true_hypo network_snr_null_hypo optimal_network_snr_true_hypo optimal_network_snr_null_hypo h1_snr_true_hypo h1_snr_null_hypo l1_snr_true_hypo l1_snr_null_hypo
27 3.489450 24.558283 24.558283 23.935756 23.935756 16.376928 16.376928 17.456135 17.456135 
28 5.867195 34.277323 34.277323 30.624888 30.624888 21.574741 21.574741 21.735095 21.735095 
29 0.902249 10.138910 10.138910 10.234110 10.234110 8.884806 8.884806 5.079098 5.079098 
30 4.838922 27.262681 27.262681 28.408992 28.408992 16.253863 16.253863 23.299845 23.299845 
31 2.876141 29.327578 29.327578 31.417895 31.417895 26.579763 26.579763 16.751130 16.751130 
32 0.953838 13.041301 13.041301 11.691663 11.691663 5.176316 5.176316 10.483355 10.483355 
33 2.732090 20.231139 20.231139 21.136417 21.136417 14.369838 14.369838 15.500190 15.500190 
34 0.922592 18.531727 18.531727 17.706676 17.706676 13.097812 13.097812 11.915273 11.915273 
35 4.419093 25.971354 25.971354 24.928847 24.928847 11.697048 11.697048 22.014234 22.014234 
36 1.685294 20.446328 20.446328 18.464775 18.464775 10.569161 10.569161 15.140699 15.140699 
37 1.648489 13.129621 13.129621 11.260729 11.260729 7.521193 7.521193 8.380673 8.380673 
38 0.150683 9.400565 9.400565 9.365788 9.365788 2.905725 2.905725 8.903637 8.903637 
39 1.086667 14.180912 14.180912 13.360322 13.360322 11.535701 11.535701 6.739868 6.739868 
40 3.759186 37.174245 37.174245 36.664679 36.664679 25.675472 25.675472 26.173820 26.173820 
41 0.057201 6.694405 6.694405 5.943812 5.943812 3.887163 3.887163 4.496540 4.496540 
42 -0.006341 25.282953 25.282953 26.971851 26.971851 22.593333 22.593333 14.731669 14.731669 
43 2.095694 17.389483 17.389483 18.866364 18.866364 13.808364 13.808364 12.855691 12.855691 
44 0.701621 8.042914 8.042914 8.235262 8.235262 7.285806 7.285806 3.838824 3.838824 
45 -0.316851 5.383756 5.383756 5.600123 5.600123 3.735352 3.735352 4.172352 4.172352 
46 0.054448 4.490745 4.490745 4.824548 4.824548 2.391080 2.391080 4.190347 4.190347 
47 -0.239382 9.005325 9.005325 10.092582 10.092582 8.461217 8.461217 5.501639 5.501639 
48 3.301290 23.945442 23.945442 24.688095 24.688095 17.341038 17.341038 17.572434 17.572434 
49 0.853005 20.012256 20.012256 20.934760 20.934760 12.597676 12.597676 16.720130 16.720130 
50 1.747802 15.152608 15.152608 16.633044 16.633044 11.427650 11.427650 12.085817 12.085817 
51 1.164763 10.730567 10.730567 11.531065 11.531065 9.812613 9.812613 6.056244 6.056244 
52 4.882685 58.252836 58.252836 57.679494 57.679494 37.894213 37.894213 43.485085 43.485085 
53 3.992243 25.652355 25.652355 27.315176 27.315176 17.681161 17.681161 20.820552 20.820552 
54 2.763858 19.992608 19.992608 19.957735 19.957735 13.842132 13.842132 14.377294 14.377294 
55 6.644655 34.732221 34.732221 34.075664 34.075664 24.028910 24.028910 24.161175 24.161175 
56 2.354584 12.717890 12.717890 11.101131 11.101131 3.371755 3.371755 10.576691 10.576691 
57 0.739211 16.432602 16.432602 15.972133 15.972133 11.310662 11.310662 11.277320 11.277320 
58 2.999254 30.481866 30.481866 31.376104 31.376104 15.547686 15.547686 27.253061 27.253061 
59 1.487426 8.754671 8.754671 8.161811 8.161811 5.554905 5.554905 5.979816 5.979816 
60 2.159042 9.967914 9.967914 7.961483 7.961483 1.758361 1.758361 7.764881 7.764881 
61 2.668603 11.099332 11.099332 10.605720 10.605720 5.970764 5.970764 8.765345 8.765345 
62 0.225789 4.079275 4.079275 3.652850 3.652850 1.779631 1.779631 3.190019 3.190019 
63 0.205634 5.649960 5.649960 6.336339 6.336339 6.024374 6.024374 1.963698 1.963698 
64 0.646008 20.651710 20.651710 20.923916 20.923916 12.783791 12.783791 16.564569 16.564569 
65 2.708394 18.398289 18.398289 17.856500 17.856500 12.560863 12.560863 12.691702 12.691702 
66 -0.006315 6.162000 6.162000 5.293954 5.293954 2.549511 2.549511 4.639606 4.639606 
67 -0.020798 12.297959 12.297959 12.049604 12.049604 11.123358 11.123358 4.632911 4.632911 
68 2.992460 17.015304 17.015304 17.285937 17.285937 9.475617 9.475617 14.457396 14.457396 
69 1.478768 13.652282 13.652282 14.075937 14.075937 9.232537 9.232537 10.625078 10.625078 
70 1.056051 9.963505 9.963505 10.302954 10.302954 9.612968 9.612968 3.706982 3.706982 
71 4.289058 31.361063 31.361063 31.607801 31.607801 23.838277 23.838277 20.755472 20.755472 
72 2.623481 15.252015 15.252015 15.922095 15.922095 13.060702 13.060702 9.106656 9.106656 
73 1.638189 11.862792 11.862792 11.602971 11.602971 8.215071 8.215071 8.193995 8.193995 
74 0.241771 4.584051 4.584051 3.410396 3.410396 1.026445 1.026445 3.252263 3.252263 
75 0.577421 9.128150 9.128150 8.682918 8.682918 6.912146 6.912146 5.255026 5.255026 
76 3.315963 28.733806 28.733806 28.878750 28.878750 17.793494 17.793494 22.745852 22.745852 
77 2.100911 11.415496 11.415496 11.773256 11.773256 5.779694 5.779694 10.256933 10.256933 
78 0.802011 19.082664 19.082664 19.606460 19.606460 16.811995 16.811995 10.088118 10.088118 
79 1.409701 28.066795 28.066795 28.200900 28.200900 18.611364 18.611364 21.187446 21.187446 
80 0.945178 9.280065 9.280065 8.871639 8.871639 7.751975 7.751975 4.314262 4.314262 
81 0.634397 16.885846 16.885846 16.650880 16.650880 11.119366 11.119366 12.394011 12.394011 
82 0.019458 9.033144 9.033144 6.579789 6.579789 6.512016 6.512016 0.941953 0.941953 
83 2.858301 14.986348 14.986348 13.973065 13.973065 10.965682 10.965682 8.660274 8.660274 
84 -0.185312 9.067951 9.067951 9.322772 9.322772 6.274535 6.274535 6.895236 6.895236 
85 1.099715 19.530429 19.530429 20.033369 20.033369 18.650302 18.650302 7.314513 7.314513 
86 0.885707 7.412963 7.412963 7.253592 7.253592 1.520456 1.520456 7.092447 7.092447 
87 4.140322 16.733038 16.733038 15.954204 15.954204 11.587134 11.587134 10.966995 10.966995 
88 2.924138 26.812669 26.812669 27.464127 27.464127 15.244670 15.244670 22.844656 22.844656 
89 1.790503 26.883965 26.883965 24.551179 24.551179 21.171436 21.171436 12.431038 12.431038 
90 2.990378 45.740433 45.740433 44.444455 44.444455 30.731830 30.731830 32.107074 32.107074 
91 -0.348725 15.524497 15.524497 15.616910 15.616910 9.991186 9.991186 12.002669 12.002669 
92 0.188927 12.758050 12.758050 13.262427 13.262427 10.585867 10.585867 7.989456 7.989456 
93 3.600546 22.523889 22.523889 23.480199 23.480199 20.583577 20.583577 11.297616 11.297616 
94 0.147488 8.580962 8.580962 8.020911 8.020911 7.108538 7.108538 3.715332 3.715332 
95 1.778543 16.799147 16.799147 15.691710 15.691710 9.272096 9.272096 12.659305 12.659305 
96 0.354405 6.982426 6.982426 7.315523 7.315523 5.968593 5.968593 4.229985 4.229985 
97 0.089538 2.627663 2.627663 1.456001 1.456001 1.242253 1.242253 0.759438 0.759438 
98 1.278844 11.209728 11.209728 12.391704 12.391704 8.435914 8.435914 9.076876 9.076876 
99 3.279660 19.564692 19.564692 19.998410 19.998410 15.743445 15.743445 12.332085 12.332085 
100 3.321663 16.600245 16.600245 16.591965 16.591965 12.162584 12.162584 11.285604 11.285604 
101 2.230079 27.008675 27.008675 27.170378 27.170378 23.022123 23.022123 14.429528 14.429528 
102 2.688303 19.182843 19.182843 19.246115 19.246115 13.365989 13.365989 13.847863 13.847863 
103 2.439911 12.897072 12.897072 12.101741 12.101741 9.785675 9.785675 7.119881 7.119881 
104 0.087208 2.786815 2.786815 2.042535 2.042535 0.798451 0.798451 1.880006 1.880006 
105 0.809806 15.382223 15.382223 14.836830 14.836830 13.051553 13.051553 7.056095 7.056095 
106 2.414239 12.919393 12.919393 12.874948 12.874948 5.673966 5.673966 11.557266 11.557266 
107 0.252977 8.504953 8.504953 8.308212 8.308212 3.797063 3.797063 7.389770 7.389770 
108 0.134524 9.958355 9.958355 9.946744 9.946744 4.950686 4.950686 8.627191 8.627191 
109 0.105314 2.777079 2.777079 2.997674 2.997674 2.804925 2.804925 1.057565 1.057565 
