lambda_1 lambda_2 mass_1 mass_2 chirp_mass mass_ratio luminosity_distance dec ra psi phase theta_jn a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl geocent_time chi_1 chi_2
7.940959 1086.2389 2.284699 1.171385 1.408641 0.5127087 162.6508 1.312897 0.8851942436305507 2.197263 1.543532 0.6118662 0.16568909585475922 0.2936137914657593 3.141592653589793 0.0 0.0 0.0 0.0 -0.1656891 0.2936138
0.0 2045.666 2.965408 1.040879 1.4898497 0.351007 228.7307 0.7375226 1.7870408283344403 0.3134963 0.5163053 2.60885 0.43437710404396057 0.5497729778289795 0.0 0.0 0.0 0.0 0.0 0.4343771 0.549773
0.0 284.54907 3.214434 1.477033 1.869111 0.4595002 121.792 -0.8383875 2.160496397118706 5.118279 1.56478 2.466936 0.5409294962882996 0.03565967082977295 0.0 0.0 0.0 0.0 0.0 0.5409295 0.03565967
0.0 1232.6151 4.213245 1.144526 1.8371669 0.27164954 106.4035 -0.3312815 6.056964871658643 4.30843 1.236052 2.408181 0.7382227182388306 0.06014806032180786 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.7382227 -0.06014806
5.409635 873.8593 2.337506 1.218495 1.4539635 0.52127993 237.9924 0.7495087 2.122168519723502 1.24678 2.998875 1.792285 0.6492313146591187 0.44386380910873413 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0 -0.6492313 -0.4438638
0.0 515.14484 4.0154 1.337297 1.9600154 0.33304203 163.0347 -0.2224892 4.3821344142199194 3.817756 2.518948 2.331758 0.6753935813903809 0.04489558935165405 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0 -0.6753936 -0.04489559
0.0 2039.4302 4.284588 1.041484 1.7557214 0.24307682 122.8906 -1.074413 1.0596500761459282 1.855078 4.168725 2.168422 0.6248630285263062 0.14950279891490936 3.141592653589793 3.141592653589793 0.0 -0.0 0.0 -0.624863 -0.1495028
217.2934 256.3707 1.542215 1.50214 1.3249947 0.9740147 210.2445 0.3998653 4.935775482314213 0.3847253 1.202791 2.185856 0.06052742898464203 0.7368649244308472 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.06052743 -0.7368649
0.0 616.46564 4.292831 1.296276 1.9851635 0.30196297 232.708 -0.159612 4.913051341340335 2.507592 3.793848 1.724051 0.14631439745426178 0.2739199995994568 3.141592653589793 0.0 0.0 -0.0 0.0 -0.1463144 0.27392
0.0 247.89764 3.810211 1.51026 2.0455515 0.39637175 146.5292 1.012227 5.946574468413175 5.355893 0.7928134 1.087433 0.470843106508255 0.7401694059371948 0.0 3.141592653589793 0.0 0.0 0.0 0.4708431 -0.7401694
278.71097 871.53296 1.482013 1.219079 1.1690212 0.8225832 73.49425 1.001753 4.849634876402135 1.311595 3.481378 2.141514 0.605485200881958 0.4137761890888214 3.141592653589793 0.0 0.0 -0.0 0.0 -0.6054852 0.4137762
0.0 347.1072 3.991967 1.429608 2.0277634 0.3581212 202.6147 0.2189212 2.1918729899481804 3.921283 4.685053 2.029628 0.4302966892719269 0.6068636775016785 3.141592653589793 0.0 0.0 -0.0 0.0 -0.4302967 0.6068637
0.0 44.384495 2.566908 1.93082 1.9341608 0.75219685 226.5621 -0.5283902 2.398114243318716 1.064969 4.040039 1.00394 0.40631920099258423 0.43967729806900024 0.0 0.0 0.0 -0.0 0.0 0.4063192 0.4396773
4.143191 648.8647 2.365001 1.284694 1.5035826 0.54321074 217.4275 -1.271596 3.6752892029909816 4.148952 3.11628 2.630466 0.12033010274171829 0.1503800004720688 0.0 0.0 0.0 3.141592653589793 0.0 0.1203301 0.15038
0.0 317.20026 3.065882 1.451037 1.8112229 0.47328535 78.70734 0.6201081 1.2251337797978508 6.060368 1.806443 2.653773 0.2738994061946869 0.0457763597369194 0.0 0.0 0.0 3.141592653589793 0.0 0.2738994 0.04577636
0.0 115.377144 2.977572 1.697653 1.9420758 0.5701468 239.4522 -0.4943151 0.42487671749122313 2.288456 0.9607319 1.691449 0.2654328942298889 0.6132060289382935 3.141592653589793 0.0 0.0 0.0 0.0 -0.2654329 0.613206
0.0 1567.4302 4.036338 1.094551 1.7583107 0.27117428 93.53349 -0.5126033 0.48449979097213003 0.8326861 1.712903 0.4538949 0.14179019629955292 0.5189915895462036 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.1417902 -0.5189916
61.463783 531.3111 1.852394 1.330192 1.3628014 0.71809345 219.1525 -0.5734549 1.4801691021320025 1.115013 4.126163 1.287796 0.23667019605636597 0.004690180066972971 3.141592653589793 0.0 0.0 -0.0 0.0 -0.2366702 0.00469018
83.47612 121.510445 1.777455 1.684871 1.5064182 0.94791204 92.34149 0.2283968 5.313979769111185 4.462401 0.5740837 0.3475714 0.462992399930954 0.7309433221817017 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.4629924 -0.7309433
0.0 1062.1389 3.362211 1.176192 1.6860921 0.34982696 186.0494 0.7445354 0.7549695524548028 1.062916 1.865251 1.229724 0.4102571904659271 0.3933570086956024 0.0 0.0 0.0 3.141592653589793 0.0 0.4102572 0.393357
0.0 27.45494 2.568065 2.042374 1.9911146 0.79529685 160.7398 1.302081 0.007092199758425011 0.5452745 3.515125 0.2783597 0.5976725220680237 0.4216982126235962 0.0 3.141592653589793 0.0 -0.0 0.0 0.5976725 -0.4216982
70.39508 1129.6306 1.819283 1.163022 1.2600347 0.63927495 220.1962 0.4593835 0.7687097399947547 5.32714 0.05330912 2.082332 0.1232713982462883 0.4924721121788025 3.141592653589793 0.0 0.0 0.0 0.0 -0.1232714 0.4924721
0.0 1381.7235 3.038932 1.120598 1.5685328 0.3687473 192.9619 0.8070672 5.062793317076441 1.901815 5.586567 1.916365 0.14470329880714417 0.40247079730033875 0.0 3.141592653589793 0.0 0.0 0.0 0.1447033 -0.4024708
0.0 64.82287 3.07142 1.839431 2.0558069 0.5988862 229.4058 0.4622813 2.46083310056283 0.8065141 0.2233986 2.300766 0.33810698986053467 0.5952340960502625 3.141592653589793 0.0 0.0 0.0 0.0 -0.338107 0.5952341
0.0 408.76303 2.436994 1.39105 1.5904607 0.57080567 195.7583 0.04768844 4.628234462016643 3.951447 4.074341 2.231315 0.43235111236572266 0.25309839844703674 0.0 3.141592653589793 0.0 -0.0 0.0 0.4323511 -0.2530984
0.0 64.520325 2.86473 1.840572 1.989319 0.6424941 66.7332 -0.360266 5.482065869834422 0.1874114 4.815878 1.266827 0.25684040784835815 0.045348770916461945 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.2568404 -0.04534877
0.0 2362.166 4.423493 1.012648 1.7525731 0.22892497 174.3095 -0.08125679 3.5558855110911267 1.128695 2.149001 1.751812 0.7481486797332764 0.4715037941932678 0.0 0.0 0.0 3.141592653589793 0.0 0.7481487 0.4715038
0.0 401.3392 4.265387 1.39535 2.0616283 0.32713327 192.5343 0.2126352 2.8908261846708214 5.011729 1.012687 1.903774 0.6850920915603638 0.46702471375465393 0.0 3.141592653589793 0.0 0.0 0.0 0.6850921 -0.4670247
21.023478 42.79528 2.101199 1.939489 1.7571208 0.9230392 194.4863 -1.467696 1.5244789729418926 6.221478 6.169916 1.001687 0.4677155911922455 0.685223400592804 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.4677156 -0.6852234
0.0 589.794 2.396224 1.30632 1.5263219 0.5451577 246.9912 0.3840567 3.8500799168004036 1.0208 4.398286 1.655144 0.25469771027565 0.5602210164070129 0.0 3.141592653589793 0.0 -0.0 0.0 0.2546977 -0.560221
0.0 1857.0674 2.704845 1.060165 1.4432989 0.3919504 229.8042 -0.1585592 5.319612767537272 3.988861 3.477165 1.305218 0.5548292994499207 0.517942488193512 0.0 0.0 0.0 -0.0 0.0 0.5548293 0.5179425
0.0 1005.9894 3.289619 1.187879 1.678586 0.36109924 173.8154 0.1768118 1.9691882201819908 3.246504 5.186991 1.756117 0.09703720360994339 0.37143269181251526 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.0970372 -0.3714327
0.0 862.13074 2.40779 1.221457 1.4761646 0.5072938 233.4193 -0.6373985 4.742270609251953 0.2759702 3.285338 0.4786214 0.5286700129508972 0.3266373872756958 3.141592653589793 0.0 0.0 -0.0 0.0 -0.52867 0.3266374
0.0 963.3042 3.586848 1.197258 1.7529935 0.3337911 74.66615 -1.162934 2.3633893837774167 0.09109243 5.941455 0.9633799 0.702240526676178 0.35725998878479004 3.141592653589793 0.0 0.0 0.0 0.0 -0.7022405 0.35726
147.17902 1690.4027 1.637626 1.079143 1.1523005 0.6589679 243.4915 0.433329 1.8114315159124317 0.4355635 2.547693 1.873049 0.65013188123703 0.04783470928668976 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0 -0.6501319 -0.04783471
44.19511 260.25632 1.931838 1.49851 1.4788039 0.77569133 240.7971 -0.8778154 0.9757076339388959 1.672369 0.9799986 2.55696 0.3112258017063141 0.37850821018218994 3.141592653589793 0.0 0.0 0.0 0.0 -0.3112258 0.3785082
0.0 124.83284 3.017771 1.678215 1.9425625 0.5561108 186.5237 0.8480776 3.038194615228008 2.443847 2.536846 2.181983 0.6753227710723877 0.4776653051376343 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.6753228 -0.4776653
40.75204 62.98187 1.951075 1.846454 1.6522179 0.9463778 122.3754 0.5167402 3.338690167185291 2.40053 3.358201 1.489105 0.597835123538971 0.7251511812210083 0.0 0.0 0.0 -0.0 0.0 0.5978351 0.7251512
0.0 471.68076 2.692826 1.357664 1.6455036 0.5041781 200.8882 0.3055619 4.585670507201598 0.962745 3.144197 0.8432315 0.09021467715501785 0.29257020354270935 3.141592653589793 3.141592653589793 0.0 -0.0 0.0 -0.09021468 -0.2925702
501.21796 1686.52 1.343614 1.07961 1.0472398 0.80351204 211.7317 -0.6374874 6.23683332227813 4.376483 5.946266 1.820534 0.48970580101013184 0.28884419798851013 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.4897058 -0.2888442
3.0565288 78.90261 2.384939 1.791306 1.7956886 0.75109094 164.7258 0.6031221 4.318535911815729 4.884244 3.019981 2.485328 0.059931330382823944 0.6031932830810547 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.05993133 -0.6031933
0.0 1819.0719 3.78981 1.064318 1.6834145 0.28083676 194.1586 0.2996078 5.5831935058173485 0.2899331 1.010249 0.6439739 0.5087763071060181 0.13590900599956512 0.0 0.0 0.0 0.0 0.0 0.5087763 0.135909
4.617731 117.83966 2.354841 1.692441 1.7332147 0.71870714 215.6569 -0.1222772 5.971446122793736 6.003222 2.781095 1.752743 0.7005152702331543 0.4789949059486389 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.7005153 -0.4789949
0.0 1688.7144 3.824467 1.079346 1.7034609 0.2822213 164.7112 0.1640052 5.130358994990843 5.714771 2.462749 1.543632 0.06642325222492218 0.6785861849784851 0.0 0.0 0.0 3.141592653589793 0.0 0.06642325 0.6785862
49.75952 247.70291 1.90348 1.51045 1.4741507 0.7935203 219.6762 -0.5583179 5.998509519276581 2.71904 0.9503581 0.5767725 0.6820675134658813 0.26038670539855957 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.6820675 -0.2603867
16.427107 428.98557 2.152898 1.379749 1.4930491 0.6408798 222.7432 0.2400926 5.19900089951409 3.842786 4.075593 2.215696 0.746509313583374 0.0883680135011673 0.0 0.0 0.0 -0.0 0.0 0.7465093 0.08836801
47.008427 353.3308 1.917112 1.425396 1.4359368 0.7435121 69.97929 -0.1090111 5.810040940000931 4.027272 0.8025984 1.419152 0.7263532280921936 0.7422481179237366 0.0 0.0 0.0 0.0 0.0 0.7263532 0.7422481
0.0 262.16464 3.76843 1.496748 2.025363 0.3971808 91.96509 0.3070448 0.568148862554473 2.527616 1.894535 1.555839 0.2990739047527313 0.1571623980998993 0.0 0.0 0.0 3.141592653589793 0.0 0.2990739 0.1571624
0.0 214.61456 2.527776 1.545233 1.7102377 0.6113014 177.9099 -0.7328869 1.3929029889244262 5.987911 4.274769 0.471771 0.5089458227157593 0.01408314984291792 3.141592653589793 0.0 0.0 -0.0 0.0 -0.5089458 0.01408315
0.0 42.312973 2.468521 1.942178 1.9034173 0.786778 147.4618 0.1192604 4.753837158785565 0.7332962 0.6166738 2.528099 0.46585801243782043 0.010685520246624947 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.465858 -0.01068552
0.0 152.96478 3.037344 1.628138 1.9174843 0.53604 232.6079 -0.4539771 4.314253819595571 0.2660294 0.7277548 1.764536 0.4258143901824951 0.1558130979537964 0.0 3.141592653589793 0.0 0.0 0.0 0.4258144 -0.1558131
45.64099 120.28462 1.924165 1.687373 1.5679551 0.8769378 191.9203 0.5196626 5.592493611008059 2.897115 5.608392 1.739175 0.15199589729309082 0.5826730132102966 0.0 0.0 0.0 0.0 0.0 0.1519959 0.582673
127.79995 956.1931 1.67242 1.198865 1.2292893 0.7168445 161.1286 1.088201 3.4406741445112416 2.135124 3.966384 1.144298 0.6703463792800903 0.684659481048584 3.141592653589793 3.141592653589793 0.0 -0.0 0.0 -0.6703464 -0.6846595
0.0 27.047602 2.468279 2.045738 1.954492 0.8288115 229.8721 -0.01798798 4.891326467941646 1.678541 6.023301 1.62113 0.3144207000732422 0.6948150992393494 3.141592653589793 0.0 0.0 0.0 0.0 -0.3144207 0.6948151
0.0 1121.0508 2.428471 1.164647 1.4448477 0.47958034 249.8883 0.4221055 2.3584628955459976 0.5102153 1.941568 0.9673942 0.7179824709892273 0.255546897649765 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.7179825 -0.2555469
0.0 565.0571 3.725943 1.316088 1.8784152 0.3532228 241.1077 -0.1374753 5.518538813745501 0.7598714 2.01236 2.246212 0.019070910289883614 0.12420859932899475 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.01907091 -0.1242086
0.0 480.1276 3.047037 1.353551 1.7398398 0.44421878 165.8182 1.198245 4.836148142056437 1.94929 4.604036 2.395983 0.14503279328346252 0.47742751240730286 0.0 0.0 0.0 -0.0 0.0 0.1450328 0.4774275
7.0084553 79.71292 2.303398 1.788796 1.7642765 0.77659005 203.3006 0.1040183 1.2152146059844 1.506557 1.537299 1.58097 0.6450783014297485 0.3788076937198639 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.6450783 -0.3788077
0.0 676.7071 4.219035 1.275234 1.95209 0.30225727 158.851 -0.9789634 0.5995261960516274 4.059286 0.2684327 2.828136 0.14289590716362 0.5184805989265442 0.0 0.0 0.0 0.0 0.0 0.1428959 0.5184806
0.0 92.2125 2.676523 1.752944 1.8772975 0.6549333 241.9439 0.9283171 6.009644102682024 5.414982 5.548862 0.6257108 0.6336771249771118 0.7443249821662903 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.6336771 -0.744325
0.0 396.3466 3.517962 1.39829 1.8914995 0.3974716 126.1501 0.122994 0.8040083672268139 5.335541 3.776181 1.856235 0.15966080129146576 0.6157125234603882 3.141592653589793 0.0 0.0 -0.0 0.0 -0.1596608 0.6157125
0.0 424.85522 2.39524 1.38201 1.572103 0.57698184 223.2094 0.111899 0.14174213809299374 0.2550606 4.066878 0.4414168 0.41002610325813293 0.43560630083084106 3.141592653589793 3.141592653589793 0.0 -0.0 0.0 -0.4100261 -0.4356063
25.00044 220.12936 2.063319 1.539062 1.5480164 0.7459157 223.1107 0.312338 0.938304287515237 1.237478 3.450481 0.5900301 0.12467169761657715 0.08231289684772491 0.0 0.0 0.0 -0.0 0.0 0.1246717 0.0823129
6.0582833 1037.1947 2.32341 1.181297 1.4261352 0.5084324 93.78967 0.07988794 0.33309868844644797 0.7794586 0.946153 0.6998546 0.6691898107528687 0.34124600887298584 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.6691898 -0.341246
0.0 101.14928 2.745252 1.730133 1.8872567 0.63022745 108.574 -0.08739937 4.710055402264587 2.284035 4.564965 0.9033807 0.6272588968276978 0.19685450196266174 3.141592653589793 3.141592653589793 0.0 -0.0 0.0 -0.6272589 -0.1968545
0.0 794.063 2.501587 1.239576 1.5145789 0.49551585 183.7156 0.2404709 2.003601127728942 4.816035 2.37536 1.177863 0.30095571279525757 0.3314962089061737 3.141592653589793 0.0 0.0 3.141592653589793 0.0 -0.3009557 0.3314962
0.0 1732.9594 4.574001 1.074103 1.8383355 0.23482789 155.6668 0.2800203 0.20253508003207088 0.5530303 3.797069 2.515687 0.6697744727134705 0.6486595869064331 3.141592653589793 0.0 0.0 -0.0 0.0 -0.6697745 0.6486596
0.0 553.1868 3.594445 1.320942 1.851816 0.36749542 248.1804 1.016929 4.70574546252017 1.307087 1.250134 1.350442 0.24540680646896362 0.1368371993303299 3.141592653589793 0.0 0.0 0.0 0.0 -0.2454068 0.1368372
0.0 24.738317 2.431936 2.065656 1.9498898 0.84938747 147.091 -0.1937301 5.9281256016430035 1.148516 1.504355 1.456416 0.05656827986240387 0.6225612759590149 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.05656828 -0.6225613
0.0 42.057262 2.399545 1.943615 1.8779427 0.80999315 155.2789 0.371973 2.698410183223203 3.416782 2.919908 1.020267 0.479539692401886 0.015917930752038956 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0 -0.4795397 -0.01591793
0.0 2226.05 4.557031 1.02423 1.7869041 0.22475818 197.2193 -1.457686 2.358042801606466 0.2020167 5.093201 1.157048 0.47368308901786804 0.11477389931678772 3.141592653589793 0.0 0.0 0.0 0.0 -0.4736831 0.1147739
0.0 15.990899 2.511894 2.158356 2.0258467 0.8592544 228.8939 0.4341004 5.4288842796405135 4.946012 4.815648 1.7324 0.6323176026344299 0.14979520440101624 3.141592653589793 0.0 0.0 0.0 0.0 -0.6323176 0.1497952
0.0 963.0198 2.979974 1.197322 1.611666 0.4017894 71.09337 -0.8275793 2.3896230669413896 4.648376 1.122378 1.83971 0.6256790161132812 0.18902359902858734 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.625679 -0.1890236
0.0 377.6997 3.469821 1.409633 1.8878769 0.40625528 176.9803 -0.7111058 3.9438073801209654 0.9955183 6.225581 0.8040794 0.6839591264724731 0.15040990710258484 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.6839591 -0.1504099
0.0 473.88318 3.525194 1.356584 1.8623539 0.38482535 148.7285 -0.4668061 6.181781169699278 2.56113 1.263348 0.6631917 0.622225284576416 0.5186939835548401 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.6222253 -0.518694
255.1303 409.3161 1.503311 1.390733 1.2585618 0.92511326 240.8706 0.4225873 0.174410983010425 6.012059 0.6093099 1.75036 0.6525834202766418 0.5709127187728882 3.141592653589793 0.0 0.0 0.0 0.0 -0.6525834 0.5709127
0.0 269.95508 2.695958 1.489692 1.7295502 0.552565 146.8082 -0.4085955 0.628419336593474 2.260424 0.7969199 2.425938 0.6725811958312988 0.13490049540996552 0.0 3.141592653589793 0.0 0.0 0.0 0.6725812 -0.1349005
0.0 53.11553 2.930227 1.887767 2.0376828 0.6442391 241.9999 0.3620167 3.838957829277028 0.8774245 2.765505 1.206849 0.06642909348011017 0.0594903789460659 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.06642909 -0.05949038
0.0 172.34196 3.391285 1.598841 1.9993068 0.4714558 232.4517 -0.5019499 3.4535933290097134 5.988185 5.106217 2.689759 0.02853279933333397 0.4619602859020233 0.0 3.141592653589793 0.0 0.0 0.0 0.0285328 -0.4619603
0.0 19.817528 2.692814 2.113835 2.0739489 0.7849911 178.9562 -0.3607278 1.935893460780612 3.642397 0.4560938 1.746715 0.08347394317388535 0.20947909355163574 3.141592653589793 0.0 0.0 0.0 0.0 -0.08347394 0.2094791
0.0 175.29558 3.333363 1.594675 1.9806061 0.4783982 103.0362 0.03634752 0.7132618816465808 2.073542 6.182964 1.207157 0.49263349175453186 0.476650208234787 0.0 0.0 0.0 0.0 0.0 0.4926335 0.4766502
0.0 60.345856 3.011012 1.856858 2.0465715 0.61668897 234.9566 0.1920618 4.710822063388882 0.2410835 5.614972 2.132378 0.44379499554634094 0.5853161215782166 0.0 0.0 0.0 0.0 0.0 0.443795 0.5853161
0.0 154.4389 2.580393 1.625779 1.7736628 0.6300509 164.084 0.4242874 4.991251493753047 1.110932 1.798862 1.654873 0.5337309837341309 0.125621497631073 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.533731 -0.1256215
0.0 2108.6404 4.525012 1.034884 1.7918164 0.22870304 243.976 -0.2043748 4.591797308304926 4.232341 3.920605 0.1768573 0.16031189262866974 0.5748339891433716 3.141592653589793 0.0 0.0 -0.0 0.0 -0.1603119 0.574834
0.0 272.70203 2.478384 1.487255 1.6606183 0.6000906 222.4953 -1.050467 3.1846533756104733 0.9802161 0.06802156 2.071306 0.747813880443573 0.6886085867881775 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.7478139 -0.6886086
0.0 84.25502 2.419392 1.77517 1.7998254 0.7337256 179.906 1.049167 1.4532746042646352 3.58337 3.25684 1.278227 0.7107393145561218 0.05200827121734619 0.0 3.141592653589793 0.0 -0.0 0.0 0.7107393 -0.05200827
0.0 524.3347 4.574071 1.333229 2.0741816 0.29147536 192.7623 0.764214 1.2593791218646686 1.120248 0.9932449 1.204656 0.7146173715591431 0.07279127091169357 0.0 3.141592653589793 0.0 0.0 0.0 0.7146174 -0.07279127
0.0 186.41263 3.761301 1.579618 2.0835834 0.41996583 218.3933 -0.6340809 1.996372825579357 2.590605 3.683247 1.230826 0.11941149830818176 0.5602558255195618 0.0 0.0 0.0 -0.0 0.0 0.1194115 0.5602558
0.0 170.26138 2.984071 1.60182 1.8852501 0.5367902 194.3081 0.4069138 4.560059571616698 2.270677 5.062564 1.424239 0.3673382103443146 0.009196635335683823 0.0 0.0 0.0 0.0 0.0 0.3673382 0.009196635
0.0 1059.0793 2.827093 1.176811 1.5585881 0.41626188 248.1446 0.7445375 3.451854420047134 3.112593 4.889521 0.3101625 0.6642032861709595 0.7340173125267029 3.141592653589793 3.141592653589793 0.0 0.0 0.0 -0.6642033 -0.7340173
0.0 112.758156 3.360223 1.70332 2.0592434 0.5069068 214.1992 -0.6041707 3.1135056948622193 1.649359 2.836795 2.281372 0.676752507686615 0.13948379456996918 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0 -0.6767525 -0.1394838
0.0 944.81525 4.079195 1.201464 1.8605164 0.2945346 208.5046 0.9232063 6.022623643649972 3.393052 0.2482802 1.359161 0.09675128012895584 0.6315662860870361 0.0 0.0 0.0 0.0 0.0 0.09675128 0.6315663
59.874683 577.7829 1.858763 1.311006 1.3548515 0.705311 124.7326 -0.6987088 5.899963458075767 1.852949 4.157249 1.601369 0.7154433727264404 0.35143089294433594 3.141592653589793 3.141592653589793 0.0 -0.0 0.0 -0.7154434 -0.3514309
10.652556 48.108257 2.235727 1.911576 1.7985939 0.85501313 199.7893 -0.3989111 5.265873340023795 6.038273 5.524743 1.23819 0.04504594951868057 0.4169321060180664 0.0 3.141592653589793 0.0 0.0 0.0 0.04504595 -0.4169321
0.0 473.0376 3.80533 1.356998 1.928474 0.35660455 158.9729 0.6644999 0.049329732905363244 0.7972092 3.50004 2.512408 0.4323318898677826 0.6878467202186584 0.0 3.141592653589793 0.0 -0.0 0.0 0.4323319 -0.6878467
13.681981 53.938404 2.189224 1.884056 1.7670203 0.86060447 214.4484 -1.230113 1.0060345978968428 0.5837706 4.475361 0.5829961 0.6505494713783264 0.4035212993621826 3.141592653589793 0.0 0.0 -0.0 0.0 -0.6505495 0.4035213
0.0 23.632368 2.553594 2.075752 2.002131 0.8128747 181.0512 -1.196808 1.881495919002674 3.284357 2.411111 1.042712 0.7494624853134155 0.7163838744163513 3.141592653589793 0.0 0.0 3.141592653589793 0.0 -0.7494625 0.7163839
0.0 161.44283 3.121943 1.614877 1.9339324 0.51726663 207.8936 -0.1505704 4.635788684402115 1.128166 3.789895 3.05766 0.2713601887226105 0.1475737988948822 3.141592653589793 0.0 0.0 -0.0 0.0 -0.2713602 0.1475738
0.0 496.11356 3.344098 1.345977 1.8103147 0.40249327 168.4899 -0.4609921 4.982994871686792 4.769732 2.845844 1.949897 0.3813571035861969 0.29077669978141785 3.141592653589793 0.0 0.0 3.141592653589793 0.0 -0.3813571 0.2907767
7.5729976 350.99127 2.291969 1.42697 1.5656344 0.62259567 207.9911 0.7934649 1.0022961064792355 5.458743 2.304397 0.961493 0.44723570346832275 0.4493483006954193 0.0 3.141592653589793 0.0 3.141592653589793 0.0 0.4472357 -0.4493483
0.0 94.50981 2.631809 1.746878 1.8588374 0.66375566 193.3047 -1.254576 4.641766551311349 2.564909 2.377283 1.215418 0.010213100351393223 0.7327945828437805 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0 -0.0102131 -0.7327946
