lambda_1 lambda_2 mass_1 mass_2 chirp_mass mass_ratio luminosity_distance dec ra psi phase theta_jn a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl geocent_time
0.0 0.0 4.570944 4.29616 3.857407 0.9398847 224.4931 0.7542931 5.311689935566548 0.1257521 0.6545596 1.326143 0.47625258564949036 0.3723522126674652 0.0 0.0 0.0 0.0 0.0
0.0 0.0 3.799187 3.544319 3.194136 0.9329151 144.5435 -0.07133118 2.3868924386378225 1.862661 1.681499 0.7337465 0.24229350686073303 0.706641674041748 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.025515 3.732433 3.3739507 0.92719394 209.8307 -0.9170378 0.0032742973461594715 1.596351 0.2233966 1.548469 0.6459429264068604 0.13968859612941742 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.593929 3.860355 3.6632924 0.84031665 122.274 -0.2490006 0.7808706524564499 0.4533023 4.777775 1.412213 0.6270356178283691 0.43450531363487244 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.624797 2.957848 3.2038856 0.6395628 248.2193 -0.9668074 5.930040087016913 0.4469419 5.143898 1.505795 0.04826359078288078 0.715722918510437 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.92233 4.204812 3.9580698 0.8542321 128.233 -0.2286808 2.1646294985011068 4.056969 0.6806916 1.24443 0.48632970452308655 0.37549149990081787 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.553607 3.984334 3.706433 0.87498415 179.9446 0.09727182 2.3990721166716185 0.5142098 5.182658 0.4352037 0.5589786767959595 0.32714539766311646 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.960432 2.965026 3.3168354 0.5977354 203.9726 -1.406153 0.48578951267120374 3.99293 0.8012279 1.053907 0.25595369935035706 0.1291200965642929 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.860827 3.875133 3.7734272 0.79721683 197.8445 0.6789014 0.5800833427289263 2.039676 2.738263 3.130355 0.2684149146080017 0.5713332891464233 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.779339 3.506666 3.5553985 0.7337136 133.004 1.290426 0.12939720290307832 5.2619 2.989536 1.637981 0.7358183860778809 0.6393923759460449 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.250537 3.547717 3.3778179 0.8346515 214.2507 0.0615997 5.696488590100579 1.037107 2.366938 0.9419363 0.25228220224380493 0.2723253071308136 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.124401 3.46867 3.2902648 0.84101176 220.2326 -0.02137687 0.7587145055673545 5.092121 3.816745 0.9567568 0.36647000908851624 0.17175740003585815 3.141592653589793 0.0 0.0 -0.0 0.0
0.0 0.0 3.813428 3.80356 3.3154836 0.9974123 248.1423 0.299964 4.060574566037417 3.253531 5.301765 1.035031 0.39458519220352173 0.7235348224639893 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.406774 4.084597 3.692891 0.92689055 212.8126 0.005329157 2.8308395542204607 6.159222 5.239644 2.849263 0.06394557654857635 0.24923700094223022 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.157969 4.156764 3.6191978 0.9997102 203.9526 -1.298108 3.3707015597159184 3.30037 6.063168 2.903177 0.06931270658969879 0.2951095998287201 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.550896 4.439089 3.9127553 0.9754318 243.9475 -0.5004598 4.356853772036288 0.3045192 3.542319 2.044616 0.22821049392223358 0.4978402853012085 0.0 0.0 0.0 -0.0 0.0
0.0 0.0 4.236968 3.820595 3.501636 0.9017286 236.817 -0.1342228 1.1846840698256997 5.281957 2.568458 2.198422 0.5054321885108948 0.5621098875999451 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.651834 2.969516 3.2194343 0.6383538 236.1931 -0.2224644 2.3343247037686083 1.96305 1.997343 1.265593 0.16681210696697235 0.12199670076370239 0.0 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.609934 3.412368 3.4450104 0.7402206 67.7545 -1.094448 4.732590450365343 3.147382 0.2798055 1.142397 0.1787288933992386 0.3886569142341614 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.895807 2.766663 3.1782978 0.5651087 182.0824 0.3241555 0.25116754042242206 4.484027 4.442714 2.590314 0.22635239362716675 0.3011380136013031 3.141592653589793 0.0 0.0 -0.0 0.0
0.0 0.0 4.689924 3.735242 3.6389415 0.79643977 173.8269 -0.467203 1.5199080714067819 2.302222 3.731454 0.4025194 0.5661197900772095 0.34240278601646423 3.141592653589793 0.0 0.0 -0.0 0.0
0.0 0.0 4.419751 4.015826 3.666745 0.9086091 184.4516 -0.1759147 1.9973659886148667 3.048317 5.802216 0.9546838 0.7032787799835205 0.4544506072998047 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.938096 3.224055 3.4579308 0.6528944 144.7202 0.3828405 0.1339265546731241 3.465218 3.691992 1.825503 0.5796679854393005 0.561874508857727 0.0 0.0 0.0 -0.0 0.0
0.0 0.0 4.629169 3.312171 3.3993099 0.7155001 192.9341 0.0611271 5.028630650353399 0.2606431 1.356233 0.3069326 0.3141101896762848 0.5445516109466553 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.553313 4.054748 3.7393298 0.8905051 109.4698 -0.4390579 5.850724043439506 0.4337663 3.096158 1.278065 0.000739626819267869 0.10230830311775208 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.623548 3.143529 3.3066192 0.6798954 186.9388 0.4225305 4.732917731597219 4.863256 2.96956 2.121356 0.6870288848876953 0.3040092885494232 0.0 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.133773 3.989096 3.5350115 0.9650012 233.6635 -0.3566436 5.951161429386367 5.685225 1.506472 2.020333 0.554111123085022 0.19334650039672852 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.308883 4.006099 3.6164262 0.9297303 117.9886 0.003998052 2.2458398484769333 3.388865 0.611404 2.437363 0.5208138823509216 0.6575047969818115 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 3.840048 3.805874 3.3280413 0.99110067 203.25 0.5624846 0.7530996044689147 0.1161845 3.811661 3.11105 0.4329245090484619 0.328779399394989 0.0 0.0 0.0 -0.0 0.0
0.0 0.0 4.733603 3.043927 3.2885716 0.6430465 219.4354 -0.09293835 1.661445208405965 3.331684 5.011615 2.605697 0.4623430073261261 0.4916175901889801 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.246395 4.05693 3.6131032 0.95538217 230.2664 -0.3626061 3.24791553733219 5.008647 3.413684 1.013125 0.3659099042415619 0.014521829783916473 0.0 0.0 0.0 -0.0 0.0
0.0 0.0 4.427713 3.027596 3.1759477 0.6837833 199.0672 0.469221 3.97550009737013 3.089629 1.998382 0.8107129 0.2097253054380417 0.23801720142364502 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.652231 4.044104 3.774183 0.8692827 65.17249 1.310987 2.574115227944098 4.731534 5.389153 1.923916 0.06029793992638588 0.02299566939473152 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.94981 3.801449 3.7697153 0.767999 121.9362 0.3702555 2.1601591163706004 0.3146699 5.337243 1.125155 0.5975785255432129 0.4457379877567291 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.925717 3.863609 3.7921586 0.78437495 153.5909 0.06392863 3.6513408633791897 1.312477 3.105586 2.396454 0.6205193996429443 0.361295610666275 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.550941 3.88742 3.6593673 0.8542014 198.809 -1.220859 4.65039212150721 0.3621842 5.221537 1.705555 0.7289143204689026 0.1339098960161209 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.907542 4.789169 4.2203617 0.9758793 237.8475 -0.5248823 0.9333000350523477 0.07906781 4.503289 2.244021 0.25172939896583557 0.4307740032672882 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.519656 3.651924 3.5327678 0.8080092 188.0626 0.5688425 1.1487476267428107 5.338911 1.339278 1.571144 0.6054484844207764 0.7071753740310669 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.51427 3.242257 3.3214486 0.71822405 142.2297 -0.5983497 1.3480529370934207 5.268703 1.556074 0.2111253 0.1723403036594391 0.3045214116573334 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.813692 4.809586 4.1887755 0.999147 199.1119 1.040401 3.0121192469448985 0.5789582 4.912495 2.500823 0.1538027971982956 0.3149346113204956 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.719067 4.357285 3.9469447 0.9233361 225.4746 0.05545693 4.449511091464778 4.014021 2.582894 2.095326 0.7314603924751282 0.2576664984226227 0.0 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.668847 4.341512 3.9188805 0.92988956 248.2607 -0.2341649 3.976861887953241 6.228367 5.791308 2.135032 0.15182210505008698 0.5760864019393921 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.85258 4.225664 3.940218 0.8708077 239.261 -0.7222755 0.5142252585906419 1.028806 0.5078588 1.676136 0.36821600794792175 0.1331298053264618 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.081155 3.48446 3.2808192 0.85379267 229.4331 1.224049 1.4274377875522362 5.228909 3.717412 0.511506 0.0731109082698822 0.2188849002122879 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 3.896834 3.575902 3.2490962 0.9176429 55.07999 0.4748098 3.2648964746154263 5.559455 1.481706 0.6481003 0.05468909069895744 0.6134678721427917 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.85618 4.18449 3.9221332 0.8616835 181.8508 0.2737481 2.2886491020440474 1.434318 5.77379 2.598696 0.020531300455331802 0.38226979970932007 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.981747 3.976836 3.869936 0.7982814 248.441 0.6621559 1.1144550275171525 1.698802 0.01007379 0.4577301 0.21325179934501648 0.3057667016983032 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.395798 4.066236 3.6799617 0.9250279 208.9911 -0.6198814 1.4256706417229523 3.542111 0.55152 2.792641 0.23794250190258026 0.7499039769172668 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.61889 4.560727 3.9955642 0.9874076 209.3039 0.2734124 5.786276632771234 5.687498 4.212183 0.9462752 0.033457398414611816 0.05032775178551674 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.545878 4.401113 3.8937924 0.96815467 222.5022 -0.5032749 2.581238325089778 4.508266 0.1265678 1.037737 0.697471022605896 0.17867699265480042 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.435018 3.499282 3.4247026 0.7890119 243.9435 -0.6308387 5.494274955297925 1.766272 3.217628 1.752671 0.3386344015598297 0.719154417514801 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.489256 4.371098 3.8562818 0.97367984 155.2646 0.4759028 3.0920193745416853 1.920478 5.258534 0.4223956 0.07934568077325821 0.5410478711128235 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.986835 3.752927 3.7585225 0.75256693 246.0555 -0.7836788 2.754152029812083 5.18283 5.612447 1.361857 0.1874781996011734 0.4790526032447815 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.842629 4.153516 3.9019973 0.85769856 186.7245 -0.5408945 2.2171434203057814 3.220107 2.111162 1.755146 0.7331724166870117 0.02211970090866089 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.301292 4.142295 3.674503 0.96303505 138.6881 -0.3695797 1.4996173572489937 3.301544 3.38946 1.783117 0.2750549018383026 0.0016557660419493914 3.141592653589793 0.0 0.0 -0.0 0.0
0.0 0.0 4.92527 3.777755 3.7485583 0.7670148 228.1489 0.5040627 5.090537715359446 0.7858605 5.902932 1.433678 0.21027399599552155 0.41585031151771545 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.917956 4.396425 4.046689 0.8939537 153.1944 0.7711403 3.5409584527715054 5.995609 2.099733 2.533239 0.4609769880771637 0.5687226057052612 0.0 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.620543 3.064789 3.262298 0.6632963 213.3134 0.6678911 0.09298768513937006 0.2758204 5.324857 1.999667 0.11952939629554749 0.13371959328651428 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.9996 2.989755 3.3437994 0.59799886 175.6522 1.219622 4.248892507874835 5.227865 2.795547 0.5296543 0.5608810782432556 0.5449380874633789 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.627298 4.037782 3.7612112 0.87260044 219.2079 0.7523568 3.2940654825894953 6.249033 5.824451 1.273905 0.4922029972076416 0.706214189529419 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.419321 4.365129 3.823567 0.9877375 237.1695 -0.5923048 4.770441801078697 5.950325 2.260594 1.528361 0.749719500541687 0.7069607973098755 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.760382 4.018253 3.8047147 0.844103 164.2034 -0.003899703 3.77202900396761 3.303681 1.711089 1.095721 0.5771052837371826 0.4063878059387207 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.986161 4.188211 3.9752247 0.839967 239.2677 1.321336 3.9266567413967195 2.413769 4.789927 0.8379414 0.07349693775177002 0.6728736162185669 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.971464 4.744524 4.227745 0.9543514 236.4868 0.005984819 1.7427743518298584 0.4262236 5.889142 1.06378 0.6343163847923279 0.5568547248840332 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.17366 3.436305 3.2937357 0.82333136 204.4718 0.8724218 4.462231422682372 2.241147 4.674061 1.32281 0.33368128538131714 0.47384729981422424 3.141592653589793 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.252315 3.145966 3.1768851 0.7398243 61.93435 -0.172032 0.6312306152535143 5.610363 3.638288 1.927634 0.745513379573822 0.3569698929786682 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.305438 3.676124 3.4612021 0.8538328 215.7787 0.09314781 3.2893870373470335 4.623334 0.2905081 2.233248 0.7055448293685913 0.3040091097354889 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.753533 4.587033 4.064943 0.9649734 119.9165 -0.07044227 5.559137310944344 0.5633841 2.17545 0.5559458 0.2436370998620987 0.6789031028747559 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.947041 2.910468 3.2804098 0.588325 92.20519 -1.256992 3.398760078256089 0.8922032 1.698723 1.31086 0.499787300825119 0.4740074872970581 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.882345 3.651614 3.6680722 0.7479221 233.8881 -0.05417875 2.1377157895325922 1.093365 2.200001 2.021689 0.7455232739448547 0.6682857871055603 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.057756 3.77699 3.407643 0.9308076 144.756 0.3601134 1.8879975847953006 0.4770497 0.6854064 1.197233 0.7108622193336487 0.17609070241451263 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.884109 3.912644 3.8009222 0.80109674 231.569 0.6761 2.1432267529739306 2.968173 1.276373 2.61206 0.7405961155891418 0.469998300075531 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.631245 3.38722 3.4395885 0.7313843 200.1864 0.9358795 3.284866390487366 2.104886 5.46817 1.7606 0.39005759358406067 0.040945351123809814 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.909669 4.160112 3.9316516 0.84733045 217.8154 0.1256245 1.7104674746219075 2.366711 4.652974 1.73928 0.30827128887176514 0.33797070384025574 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.260227 4.220662 3.6914735 0.99071294 213.0535 -0.5370948 5.749531241788134 1.37394 2.339162 1.320464 0.29067981243133545 0.22881880402565002 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.495025 3.794676 3.5928273 0.84419465 126.0302 0.1417594 5.452088064804627 1.679671 4.668119 0.3949236 0.3484134078025818 0.2798505127429962 3.141592653589793 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.390897 3.956906 3.6276965 0.90116125 247.9339 0.2118634 2.136121835505186 2.974765 0.2082063 1.78927 0.6081694960594177 0.2045276015996933 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.139417 3.52042 3.3210568 0.85046273 224.0383 -0.2848755 0.2506746859764135 5.384624 5.478446 0.4643628 0.2752777934074402 0.12982800602912903 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.623143 4.336655 3.8975859 0.93803173 226.9917 -0.873042 3.308001975601144 4.014598 5.74291 0.9524126 0.4297564923763275 0.5791553258895874 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.795709 3.129725 3.3574598 0.6526094 194.5544 -1.046138 1.754965155854883 0.2021501 6.052224 0.729933 0.21379919350147247 0.6270003914833069 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.489933 3.626891 3.5090325 0.8077828 190.718 -0.6688271 0.6146432891584155 3.562805 0.2928827 1.713655 0.5022991895675659 0.20612390339374542 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.181381 4.013174 3.565986 0.95977235 185.9075 -0.6476892 0.12082180350640925 5.607068 6.14234 0.7756239 0.7255113124847412 0.24215810000896454 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.945162 4.078469 3.905983 0.8247392 227.7382 -0.7891896 3.5609119114271053 6.216928 2.143162 0.8190523 0.2306073009967804 0.48966020345687866 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.851656 4.154613 3.9061 0.85632885 246.9492 0.6087288 4.699130671466413 1.682788 3.193981 1.860427 0.4535354971885681 0.3437331020832062 0.0 0.0 0.0 -0.0 0.0
0.0 0.0 4.033518 3.311122 3.1783476 0.82090175 238.2882 0.274247 2.3852733617860977 0.8176252 2.490784 2.747321 0.25529760122299194 0.3631739020347595 0.0 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.302052 4.162541 3.6838276 0.967571 216.0694 -0.2642744 1.7986730426384057 0.8941175 0.252753 1.957914 0.007332697045058012 0.3063529133796692 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.932493 3.530298 3.6226301 0.7157228 147.3115 -0.9682594 5.2681938216739255 2.015975 0.9300128 0.5933672 0.5703591108322144 0.2348242998123169 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.976395 3.576909 3.662916 0.71877515 124.2044 0.2826296 0.3369237032974439 5.369751 2.559341 0.9407051 0.7150539755821228 0.08727256208658218 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.266942 3.715206 3.4644625 0.8706952 201.9045 0.056105 2.8478685170740974 4.443182 2.134815 1.571604 0.6820669770240784 0.5108668208122253 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.421443 3.627874 3.4831963 0.8205181 202.2254 -0.6702863 0.46325773634534073 0.884863 5.116549 2.190046 0.34600821137428284 0.4616439938545227 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.802405 3.515321 3.5682342 0.7319918 231.9003 0.5556459 4.468320941745482 4.749926 5.723456 1.485066 0.7089976072311401 0.45804670453071594 3.141592653589793 0.0 0.0 0.0 0.0
0.0 0.0 4.732479 4.566234 4.046724 0.96487147 219.0235 0.6061726 0.6205247586411957 5.730029 1.994285 1.278716 0.3587956130504608 0.6305025815963745 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.992997 3.739604 3.7539065 0.7489698 131.8416 0.09834398 1.853661568945327 5.421315 2.618437 2.307905 0.4324856102466583 0.2860735058784485 0.0 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.21111 3.341149 3.2610698 0.7934129 198.9738 -0.1366078 4.325692997656816 2.819569 5.480237 0.5486737 0.08231416344642639 0.6116924285888672 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.456216 3.863855 3.610496 0.86707085 198.0502 1.069716 5.002949227077707 1.489115 2.364363 1.105643 0.052318550646305084 0.36366990208625793 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.947132 4.71097 4.202425 0.9522628 166.0959 -1.302421 0.007252765860918942 3.107595 2.130153 1.148696 0.572012722492218 0.307725191116333 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.203557 3.518877 3.345506 0.8371189 171.592 -0.8871654 4.249145130183834 0.05447487 4.699806 0.7899517 0.4446049928665161 0.5879225730895996 0.0 0.0 0.0 -0.0 0.0
0.0 0.0 4.6522 4.244921 3.8678262 0.91245455 122.9446 0.3407494 5.472112209369598 0.6625991 1.69232 0.4294204 0.671410083770752 0.3871704041957855 3.141592653589793 0.0 0.0 3.141592653589793 0.0
0.0 0.0 4.909806 3.459922 3.5771418 0.7046963 179.5112 0.7184212 5.456012715375337 5.80949 1.412063 1.868027 0.23061420023441315 0.4931657016277313 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.975969 4.629915 4.1779475 0.930455 158.2362 -0.8516461 6.1117805738112025 5.769131 2.649906 1.562773 0.17573590576648712 0.21008500456809998 0.0 3.141592653589793 0.0 3.141592653589793 0.0
0.0 0.0 4.830809 3.411983 3.5237186 0.7062964 175.4162 1.198071 2.769078774157258 4.275791 4.658817 0.8496353 0.5943089127540588 0.468504399061203 0.0 0.0 0.0 -0.0 0.0
0.0 0.0 4.716429 3.703715 3.6331775 0.78527945 143.3454 -1.091329 5.701682317432294 1.314793 4.496706 2.385318 0.12195420265197754 0.6624730229377747 0.0 3.141592653589793 0.0 -0.0 0.0
0.0 0.0 4.612317 4.403 3.9228754 0.9546178 172.6073 -0.7849303 0.21053452400005312 1.657971 1.083854 0.7559901 0.03513418883085251 0.13633869588375092 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.276533 3.72988 3.4752371 0.8721738 233.2029 0.1077023 5.509465675085828 1.711744 5.898453 0.8556311 0.005800186190754175 0.2340535968542099 3.141592653589793 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.057364 3.292106 3.1781871 0.81139034 166.6876 -0.7656911 4.279881137144564 0.2778775 5.700869 0.2597568 0.7385265231132507 0.49119189381599426 0.0 0.0 0.0 0.0 0.0
0.0 0.0 4.274853 4.06099 3.6269534 0.94997174 200.8342 1.217234 0.2684874012214493 1.289426 6.114538 2.206628 0.08167848736047745 0.37252581119537354 0.0 3.141592653589793 0.0 0.0 0.0
0.0 0.0 4.955065 4.13966 3.9395857 0.8354401 244.9918 -0.2173319 1.3200233830014838 5.729137 3.108806 1.643592 0.7352362275123596 0.020029699429869652 3.141592653589793 3.141592653589793 0.0 3.141592653589793 0.0
